episode,timestep,reward
17329, 1287000, 57.4371
17340, 1288500, 63.6976
17352, 1290000, 56.28
17364, 1291500, 57.4201
17375, 1293000, 53.6165
17387, 1294500, 57.7153
17398, 1296000, 59.0402
17410, 1297500, 54.531
17421, 1299000, 59.1431
17433, 1300500, 56.6575
17445, 1302000, 55.7437
17457, 1303500, 60.3958
17468, 1305000, 65.1415
17480, 1306500, 54.9498
17492, 1308000, 57.4064
17503, 1309500, 61.2727
17515, 1311000, 53.8761
17527, 1312500, 60.4687
17539, 1314000, 59.3977
17551, 1315500, 56.9271
17562, 1317000, 63.6477
17575, 1318500, 52.1145
17587, 1320000, 53.7401
17598, 1321500, 54.4816
17610, 1323000, 57.8011
17623, 1324500, 54.9518
17634, 1326000, 60.8017
17647, 1327500, 54.5836
17659, 1329000, 57.8155
17671, 1330500, 64.3003
17682, 1332000, 65.2044
17694, 1333500, 61.6981
17705, 1335000, 55.6127
17718, 1336500, 55.5715
17729, 1338000, 64.2955
17741, 1339500, 60.9608
17753, 1341000, 58.4329
17766, 1342500, 54.9701
17777, 1344000, 62.0527
17789, 1345500, 64.1625
17801, 1347000, 62.6646
17813, 1348500, 57.6809
17825, 1350000, 52.2888
17837, 1351500, 54.7194
17849, 1353000, 61.013
17861, 1354500, 54.2003
17874, 1356000, 58.3926
17885, 1357500, 63.9155
17897, 1359000, 64.3075
17908, 1360500, 65.4197
17920, 1362000, 61.0316
17933, 1363500, 55.5648
17945, 1365000, 56.6138
17957, 1366500, 57.8558
17971, 1368000, 49.5658
17982, 1369500, 54.3411
17995, 1371000, 57.6411
18006, 1372500, 62.569
18018, 1374000, 61.9412
18030, 1375500, 62.542
18041, 1377000, 61.9866
18052, 1378500, 62.061
18063, 1380000, 63.6783
18075, 1381500, 61.6214
18087, 1383000, 61.7627
18098, 1384500, 63.8579
18110, 1386000, 55.5919
18122, 1387500, 61.118
18133, 1389000, 60.5946
18145, 1390500, 57.4086
18157, 1392000, 66.9373
18169, 1393500, 54.6849
18182, 1395000, 57.5148
18193, 1396500, 59.4662
18205, 1398000, 58.3162
18217, 1399500, 56.2098
18230, 1401000, 59.4147
18241, 1402500, 57.5749
18253, 1404000, 60.5668
18266, 1405500, 57.4502
18277, 1407000, 63.4384
18289, 1408500, 62.4936
18301, 1410000, 62.4104
18313, 1411500, 66.9448
18325, 1413000, 64.4048
18338, 1414500, 54.3627
18350, 1416000, 61.0844
18361, 1417500, 59.0687
18374, 1419000, 54.382
18387, 1420500, 56.6144
18398, 1422000, 68.3695
18410, 1423500, 65.2486
18421, 1425000, 66.9262
18434, 1426500, 53.8688
18445, 1428000, 64.3946
18457, 1429500, 57.8926
18469, 1431000, 58.0515
18481, 1432500, 60.1134
18494, 1434000, 51.7352
18506, 1435500, 60.482
18517, 1437000, 58.6306
18529, 1438500, 64.6553
18540, 1440000, 56.2761
18552, 1441500, 53.774
18564, 1443000, 62.2037
18575, 1444500, 61.8207
18587, 1446000, 59.0308
18599, 1447500, 60.2369
18611, 1449000, 56.9324
18622, 1450500, 65.6569
18634, 1452000, 64.4327
18645, 1453500, 62.3883
18657, 1455000, 54.0428
18668, 1456500, 63.877
18679, 1458000, 66.6831
18691, 1459500, 65.7762
18703, 1461000, 59.678
18715, 1462500, 54.4552
18727, 1464000, 58.7982
18738, 1465500, 63.4211
18750, 1467000, 64.1044
18762, 1468500, 61.5667
18774, 1470000, 60.1895
18786, 1471500, 61.7064
18798, 1473000, 57.6678
18809, 1474500, 59.9652
18822, 1476000, 57.109
18833, 1477500, 65.6175
18845, 1479000, 66.6569
18857, 1480500, 61.5712
18868, 1482000, 63.8754
18880, 1483500, 59.8249
18892, 1485000, 60.1438
18903, 1486500, 63.5705
18914, 1488000, 65.437
18926, 1489500, 63.0279
18938, 1491000, 67.193
18949, 1492500, 65.628
18961, 1494000, 63.9839
18973, 1495500, 65.7696
18985, 1497000, 61.1456
18997, 1498500, 59.027
19009, 1500000, 61.5782
19021, 1501500, 63.5188
19032, 1503000, 65.5052
19044, 1504500, 63.7336
19056, 1506000, 64.1633
19067, 1507500, 62.8419
19079, 1509000, 68.6861
19090, 1510500, 63.8231
19102, 1512000, 67.3559
19113, 1513500, 65.1015
19124, 1515000, 66.3541
19136, 1516500, 63.4511
19148, 1518000, 65.9254
19159, 1519500, 60.642
19171, 1521000, 68.5716
19182, 1522500, 68.7025
19194, 1524000, 67.0167
19205, 1525500, 68.6244
19217, 1527000, 63.533
19230, 1528500, 63.7027
19241, 1530000, 65.4158
19253, 1531500, 65.5892
19264, 1533000, 68.7122
19276, 1534500, 68.6333
19288, 1536000, 65.5889
19300, 1537500, 65.4955
19312, 1539000, 64.5754
19323, 1540500, 67.4548
19335, 1542000, 68.776
19346, 1543500, 64.9738
19357, 1545000, 68.5866
19369, 1546500, 68.6283
19380, 1548000, 67.042
19392, 1549500, 64.3347
19404, 1551000, 67.1251
19416, 1552500, 66.0996
19427, 1554000, 65.6712
19438, 1555500, 60.452
19450, 1557000, 64.3905
19461, 1558500, 68.5827
19473, 1560000, 67.2371
19485, 1561500, 63.5724
19497, 1563000, 67.1289
19509, 1564500, 68.5586
19521, 1566000, 68.7711
19532, 1567500, 65.5928
19544, 1569000, 59.8406
19556, 1570500, 63.9145
19568, 1572000, 63.5536
19580, 1573500, 63.0578
19592, 1575000, 68.6471
19604, 1576500, 68.4948
19615, 1578000, 63.7845
19627, 1579500, 67.082
